,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,43.66,69,100,3.76,overcast clouds
1,Hilo,US,19.7297,-155.09,71.26,75,100,9.22,overcast clouds
2,Mataura,NZ,-46.1927,168.8643,48.76,98,91,2.37,light rain
3,Santo Domingo,DO,18.5001,-69.9886,84.04,76,40,5.99,scattered clouds
4,Saldanha,ZA,-33.0117,17.9442,71.65,62,0,30.94,clear sky
5,Niteroi,BR,-22.8833,-43.1036,89.22,60,75,19.57,moderate rain
6,Guane,CU,22.2025,-84.0875,79.23,70,82,13.49,broken clouds
7,Jamestown,US,42.097,-79.2353,46.71,56,75,11.5,broken clouds
8,Hobart,AU,-42.8794,147.3294,57.06,77,40,5.75,scattered clouds
9,Kodiak,US,57.79,-152.4072,38.71,93,100,31.07,light rain
10,Cascais,PT,38.6979,-9.4215,65.97,91,75,15.01,broken clouds
11,Butaritari,KI,3.0707,172.7902,80.51,75,55,12.57,broken clouds
12,Torbay,CA,47.6666,-52.7314,23.58,70,75,27.63,light shower snow
13,Bredasdorp,ZA,-34.5322,20.0403,65.52,44,9,14.7,clear sky
14,Rikitea,PF,-23.1203,-134.9692,76.59,75,58,4.85,light rain
15,Adrar,MR,20.5022,-10.0711,79.68,23,82,26.19,broken clouds
16,Busselton,AU,-33.65,115.3333,60.69,82,0,13.18,clear sky
17,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,76,100,7.87,overcast clouds
18,Progreso,MX,21.2833,-89.6667,76.1,79,76,9.51,light rain
19,San Rafael,AR,-34.6177,-68.3301,85.59,15,1,12.5,clear sky
20,Hambantota,LK,6.1241,81.1185,77.34,88,20,5.75,few clouds
21,Pevek,RU,69.7008,170.3133,-11.45,98,100,10.29,overcast clouds
22,Ust-Nera,RU,64.5667,143.2,-14.64,98,100,0.67,overcast clouds
23,Mayfield,US,36.7417,-88.6367,56.98,82,100,8.05,overcast clouds
24,Farah,AF,32.5,62.5,44.56,57,0,4.61,clear sky
25,Ribeira Grande,PT,38.5167,-28.7,64.8,82,75,21.85,broken clouds
26,Kruisfontein,ZA,-34.0033,24.7314,65.88,57,100,18.25,overcast clouds
27,Mae Hong Son,TH,19.3003,97.9685,65.03,71,94,1.72,overcast clouds
28,Matara,LK,5.9485,80.5353,75.07,84,31,10.0,scattered clouds
29,Nhulunbuy,AU,-12.2333,136.7667,79.41,94,100,5.75,light rain
30,Thompson,CA,55.7435,-97.8558,1.56,85,100,6.91,light snow
31,Qitaihe,CN,45.8,130.85,-6.57,95,40,5.53,scattered clouds
32,Wageningen,NL,51.9667,5.6667,49.1,93,100,11.5,overcast clouds
33,Tilichiki,RU,60.4667,166.1,-14.64,98,100,12.21,overcast clouds
34,Hasaki,JP,35.7333,140.8333,37.8,51,31,13.38,scattered clouds
35,Menongue,AO,-14.6585,17.691,87.85,23,100,9.19,overcast clouds
36,Kapaa,US,22.0752,-159.319,69.78,88,0,5.75,clear sky
37,New Norfolk,AU,-42.7826,147.0587,56.7,95,0,1.68,clear sky
38,Talnakh,RU,69.4865,88.3972,-23.35,98,23,4.41,few clouds
39,Carnarvon,AU,-24.8667,113.6333,78.93,63,10,19.91,clear sky
40,Bambous Virieux,MU,-20.3428,57.7575,80.85,69,20,4.61,few clouds
41,Cidreira,BR,-30.1811,-50.2056,76.21,54,28,14.74,scattered clouds
42,Bethel,US,41.3712,-73.414,44.6,58,0,8.99,clear sky
43,Kurilsk,RU,45.2333,147.8833,27.07,69,100,11.9,light snow
44,Lompoc,US,34.6391,-120.4579,52.59,91,100,5.75,overcast clouds
45,Flin Flon,CA,54.7682,-101.865,-2.36,71,100,4.61,light snow
46,Nelson Bay,AU,-32.7167,152.15,71.1,92,100,14.0,overcast clouds
47,Punta Arenas,CL,-53.15,-70.9167,51.82,61,79,30.78,broken clouds
48,Castro,BR,-24.7911,-50.0119,78.08,51,6,8.63,clear sky
49,Saint George,US,37.1041,-113.5841,30.79,86,40,3.44,scattered clouds
50,Port Elizabeth,ZA,-33.918,25.5701,70.09,52,20,23.02,few clouds
51,Srednekolymsk,RU,67.45,153.6833,-38.07,100,79,3.18,broken clouds
52,Chiredzi,ZW,-21.05,31.6667,94.15,22,2,9.48,clear sky
53,Hit,IQ,33.6416,42.8251,56.59,57,3,3.18,clear sky
54,Lebu,CL,-37.6167,-73.65,62.58,64,6,21.74,clear sky
55,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,94,100,17.4,overcast clouds
56,Pitimbu,BR,-7.4706,-34.8086,88.39,68,97,9.75,overcast clouds
57,Santa Maria,BR,-29.6842,-53.8069,79.9,54,20,4.61,few clouds
58,Hermanus,ZA,-34.4187,19.2345,68.81,54,1,17.98,clear sky
59,Port Alfred,ZA,-33.5906,26.891,66.18,76,81,8.01,broken clouds
60,Sinnamary,GF,5.3833,-52.95,81.14,68,97,3.96,overcast clouds
61,Yishui,CN,35.7847,118.6281,26.73,40,0,2.95,clear sky
62,Yellowknife,CA,62.456,-114.3525,7.32,85,100,9.22,light snow
